0.00000	0.00000
+10p	0.00000
+10p	0.01018
+10p	0.03524
+10p	0.07270
+10p	0.12128
+10p	0.18010
+10p	0.24846
+10p	0.32574
+10p	0.41141
+10p	0.50500
+10p	0.60605
+10p	0.71416
+10p	0.82893
+10p	0.94998
+10p	1.07696
+10p	1.20953
+10p	1.34735
+10p	1.49010
+10p	1.63748
+10p	1.78918
+10p	1.94492
+10p	2.10440
+10p	2.26737
+10p	2.43354
+10p	2.60267
+10p	2.77450
+10p	2.94880
+10p	3.12531
+10p	3.30382
+10p	3.48410
+10p	3.66595
+10p	3.84914
+10p	4.03348
+10p	4.21878
+10p	4.40485
+10p	4.59151
+10p	4.77858
+10p	4.96590
+10p	5.15330
+10p	5.34063
+10p	5.52774
+10p	5.71450
+10p	5.90075
+10p	6.08637
+10p	6.27124
+10p	6.45524
+10p	6.63825
+10p	6.82016
+10p	7.00088
+10p	7.18030
+10p	7.35834
+10p	7.53490
+10p	7.70990
+10p	7.88326
+10p	8.05492
+10p	8.22480
+10p	8.39284
+10p	8.55897
+10p	8.72315
+10p	8.88532
+10p	9.04543
+10p	9.20344
+10p	9.35930
+10p	9.51299
+10p	9.66446
+10p	9.81368
+10p	9.96063
+10p	10.10529
+10p	10.24763
+10p	10.38763
+10p	10.52527
+10p	10.66055
+10p	10.79345
+10p	10.92396
+10p	11.05208
+10p	11.17779
+10p	11.30111
+10p	11.42202
+10p	11.54053
+10p	11.65665
+10p	11.77037
+10p	11.88170
+10p	11.99065
+10p	12.09724
+10p	12.20146
+10p	12.30333
+10p	12.40287
+10p	12.50009
+10p	12.59500
+10p	12.68763
+10p	12.77797
+10p	12.86607
+10p	12.95193
+10p	13.03557
+10p	13.11701
+10p	13.19628
+10p	13.27339
+10p	13.34837
+10p	13.42124
+10p	13.49202
+10p	13.56074
+10p	13.62742
+10p	13.69208
+10p	13.75476
+10p	13.81546
+10p	13.87422
+10p	13.93107
+10p	13.98602
+10p	14.03910
+10p	14.09035
+10p	14.13978
+10p	14.18741
+10p	14.23329
+10p	14.27742
+10p	14.31985
+10p	14.36058
+10p	14.39966
+10p	14.43709
+10p	14.47292
+10p	14.50717
+10p	14.53985
+10p	14.57100
+10p	14.60064
+10p	14.62879
+10p	14.65549
+10p	14.68075
+10p	14.70460
+10p	14.72707
+10p	14.74817
+10p	14.76793
+10p	14.78638
+10p	14.80354
+10p	14.81944
+10p	14.83408
+10p	14.84751
+10p	14.85973
+10p	14.87078
